-BEGIN HEADER-,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Daily Data ,,,,,,,,,,,
Dates (month/day/year): 01/01/2021 through 12/31/2021 ,,,,,,,,,,,
Location: Regional ,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) ,,,,,,,,,,,
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) ,,,,,,,,,,,
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) ,,,,,,,,,,,
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,,,,,
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,,,,
PS              MERRA-2 Surface Pressure (kPa) ,,,,,,,,,,,
WS50M_MAX       MERRA-2 Wind Speed at 50 Meters Maximum (m/s) ,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,
LAT,LON,YEAR,MO,DY,T2MDEW,T2M_MIN,T2M_MAX,RH2M,PRECTOTCORR,PS,WS50M_MAX
22.75,82.25,2021,1,1,9.53,9.46,24.27,64.99,0,96.09,4.85
22.75,82.75,2021,1,1,10.11,9.82,23.72,67.79,0,96.12,4.65
22.75,83.25,2021,1,1,10.34,10.04,22.63,70.28,0,95.34,4.03
22.75,83.75,2021,1,1,10.14,10.33,22.2,70,0,94.86,3.71
22.75,84.25,2021,1,1,9.73,9.95,22.98,68.85,0,95.41,4.41
22.75,84.75,2021,1,1,9.05,9.48,24.11,66.31,0,95.9,4.67
22.75,85.25,2021,1,1,8.53,9.22,24.84,64.38,0,96.65,4.57
22.75,85.75,2021,1,1,8.43,9.1,24.8,64.21,0,97.71,4.42
22.75,86.25,2021,1,1,8.76,8.66,24.04,66.16,0,98.82,4.73
22.75,86.75,2021,1,1,9.29,8.67,23.41,69.13,0,100.01,5.95
22.75,87.25,2021,1,1,9.36,8.5,23.24,69.88,0,100.84,6.16
22.75,87.75,2021,1,1,9.19,8.47,23.51,68.82,0.01,101.31,5.84
22.75,88.25,2021,1,1,9.04,8.7,24.1,67.2,0.01,101.49,5.38
23.25,82.25,2021,1,1,8.4,9.15,24.17,62.6,0,95.2,4.29
23.25,82.75,2021,1,1,8.83,9.5,23.69,65.04,0,95.19,4.29
23.25,83.25,2021,1,1,9.49,9.88,22.41,69.44,0,94.73,3.63
23.25,83.75,2021,1,1,9.72,10.31,21.52,71.44,0,93.83,2.84
23.25,84.25,2021,1,1,9.43,9.67,22.01,71.31,0,94.05,3.49
23.25,84.75,2021,1,1,8.99,8.95,22.87,70.36,0,94.62,4.23
23.25,85.25,2021,1,1,8.73,8.56,23.66,69.11,0,95.79,4.92
23.25,85.75,2021,1,1,8.81,8.51,23.96,68.54,0,97.38,5.4
23.25,86.25,2021,1,1,9.17,8.4,23.43,70.09,0,98.78,5.49
23.25,86.75,2021,1,1,9.23,8.57,23.21,70.19,0,99.79,5.96
23.25,87.25,2021,1,1,9,8.56,23.4,68.74,0,100.62,6.01
23.25,87.75,2021,1,1,8.7,8.46,23.75,67.05,0,101.16,5.76
23.25,88.25,2021,1,1,8.6,8.42,24.12,66.33,0,101.42,5.42
23.75,82.25,2021,1,1,7.82,10.21,24.02,59.8,0,95.82,3.69
23.75,82.75,2021,1,1,8.18,10.64,23.56,61.28,0,96.01,3.62
23.75,83.25,2021,1,1,9.03,10.73,22.7,65.49,0,96.27,3.34
23.75,83.75,2021,1,1,9.77,10.28,21.67,70.97,0,95.74,3.13
23.75,84.25,2021,1,1,9.59,9.91,21.91,70.34,0,95.8,3.34
23.75,84.75,2021,1,1,9.15,9.03,22.07,70.43,0,95.72,3.76
23.75,85.25,2021,1,1,8.87,8.3,22.29,70.83,0,96.16,4.56
23.75,85.75,2021,1,1,8.88,8.02,22.54,71.14,0,97.24,5.45
23.75,86.25,2021,1,1,9.02,8.16,22.72,70.94,0,98.51,5.71
23.75,86.75,2021,1,1,8.82,8.49,23.01,69.49,0,99.52,6.07
23.75,87.25,2021,1,1,8.34,8.67,23.54,66.44,0,100.34,6.16
23.75,87.75,2021,1,1,8.11,8.63,23.93,64.86,0,100.97,5.95
23.75,88.25,2021,1,1,8.34,8.47,23.99,65.89,0,101.37,5.6
24.25,82.25,2021,1,1,7.42,10.8,24.14,55.58,0,97.4,3.13
24.25,82.75,2021,1,1,7.8,11,23.64,56.99,0,97.67,3.07
24.25,83.25,2021,1,1,8.44,10.73,22.97,60.5,0,97.97,3.11
24.25,83.75,2021,1,1,9.06,9.9,22.55,65,0,98.08,3.59
24.25,84.25,2021,1,1,8.92,9.79,23,63.98,0,98.3,3.9
24.25,84.75,2021,1,1,8.68,9.12,22.63,65.28,0,97.93,4.2
